scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"scaling-multirowvalues-workers-1","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:59:53.6465667+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,10000,1.195824,8362.435,8362.435,75.021,193.273,223.154,75.119,193.302,223.176,0,True
"scaling-bulkcopy-workers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:04.1015702+00:00",Queue,BulkCopy,Channel,2,2,1000,5,8000,2000,Uniform,10000,0.669272,14941.610,14941.610,320.686,430.675,437.533,323.367,434.298,447.917,0,True
"scaling-multirowvalues-workers-2","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:05.5146084+00:00",Queue,MultiRowValues,Channel,2,2,100,5,2000,400,Uniform,10000,0.740462,13505.082,13505.082,79.108,226.052,249.211,79.214,226.459,249.304,0,True
"scaling-tablevaluedparameter-workers-4","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:07.2616079+00:00",Queue,TableValuedParameter,Channel,4,2,500,5,4000,1000,Uniform,10000,1.216964,8217.173,8217.173,707.206,1096.758,1104.183,709.541,1098.863,1104.761,0,True
"direct-individual","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:30.8500333+00:00",DirectDatabase,Individual,None,1,4,1,5,1000,250,Uniform,10000,20.972023,476.826,0.000,7.571,13.694,22.614,0.000,0.000,0.000,0,True
"direct-multirowvalues","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:31.9008449+00:00",DirectDatabase,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,10000,0.773470,12928.751,0.000,14.158,20.412,31.753,0.000,0.000,0.000,0,True
"direct-tablevaluedparameter","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:32.5833342+00:00",DirectDatabase,TableValuedParameter,Channel,1,2,500,5,4000,1000,Uniform,10000,0.507401,19708.274,0.000,43.732,72.904,73.077,0.000,0.000,0.000,0,True
"direct-bulkcopy","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:33.1328800+00:00",DirectDatabase,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,10000,0.355453,28133.123,0.000,53.292,97.240,97.240,0.000,0.000,0.000,0,True
"direct-multipleinsertstatements","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:00:34.7313986+00:00",DirectDatabase,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,10000,1.307210,7649.883,0.000,12.036,20.434,28.075,0.000,0.000,0.000,0,True
"finalist-bulkcopy","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:01:04.6409477+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,250000,17.248150,14494.309,14494.309,119.597,790.302,1114.373,124.201,800.825,1122.557,0,True
"finalist-tablevaluedparameter","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:01:39.3085168+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,Uniform,250000,26.089322,9582.465,9582.465,129.777,209.274,1200.454,132.089,212.070,1206.552,0,True
"finalist-multipleinsertstatements","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:02:24.6781951+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,250000,32.793169,7623.539,7623.539,47.065,79.469,94.257,47.110,79.510,94.308,0,True
"finalist-multirowvalues","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:03:04.4773474+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,250000,24.759214,10097.251,10097.251,66.496,95.996,410.012,66.557,96.040,410.205,0,True
"finalist-multipleinsertstatements","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:03:49.5179662+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,250000,34.550982,7235.684,7235.684,46.530,76.761,105.354,46.571,76.809,105.364,0,True
"finalist-multirowvalues","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:04:24.6381429+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,250000,24.922587,10031.061,10031.061,66.621,92.334,402.436,66.680,92.486,402.522,0,True
"finalist-multirowvalues","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T17:04:59.3784605+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,Uniform,250000,25.054533,9978.234,9978.234,66.128,88.417,460.039,66.196,88.474,460.211,0,True
