scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"sqlbatch-distribution-individual-native-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:34.0195283+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,HotParent,2000,1.593144,1255.380,1255.380,7.285,9.015,164.649,7.305,9.038,164.678,0,True
"sqlbatch-distribution-individual-native-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:16.4716614+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,ModerateSkew,2000,1.634850,1223.354,1223.354,7.273,9.736,16.517,7.297,9.768,16.529,0,True
"sqlbatch-distribution-individual-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:11.9101571+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,4,1,1,500,2000,4.000,4.000,4,4,HotParent,2000,11.253138,177.728,177.728,85.184,124.688,133.931,85.212,124.765,134.000,0,True
"sqlbatch-distribution-individual-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:31.9358884+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,4,1,1,500,2000,4.000,4.000,4,4,ModerateSkew,2000,11.803268,169.445,169.445,90.994,130.681,145.405,91.054,130.704,145.446,0,True
"sqlbatch-distribution-multipleinsertstatements-native-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:14.3908475+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,401,401,49.875,1.000,1,1,HotParent,20000,1.769797,11300.729,11300.729,118.662,239.298,314.057,118.736,239.418,314.083,0,True
"sqlbatch-distribution-multipleinsertstatements-native-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:11.9699057+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,ModerateSkew,20000,8.671263,2306.469,2306.469,114.707,2890.522,3130.562,114.745,2890.546,3130.762,0,True
"sqlbatch-distribution-multipleinsertstatements-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:07:56.9054246+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,1,1,196,400,102.041,2.041,3,4,HotParent,20000,5.380677,3717.005,3717.005,421.175,503.046,521.955,421.369,503.147,522.049,0,True
"sqlbatch-distribution-multipleinsertstatements-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:46.8578875+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,1,1,196,400,102.041,2.041,3,4,ModerateSkew,20000,4.921893,4063.477,4063.477,350.445,526.161,602.073,350.582,526.358,602.101,0,True
"sqlbatch-distribution-multirowvalues-native-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:36.9482404+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,HotParent,20000,1.415023,14134.042,14134.042,139.037,347.599,389.748,139.506,347.798,390.223,0,True
"sqlbatch-distribution-multirowvalues-native-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:41.8567563+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,ModerateSkew,20000,7.015685,2850.755,2850.755,733.439,1075.514,1246.140,733.614,1075.971,1248.318,0,True
"sqlbatch-distribution-multirowvalues-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:26.9078376+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,93,200,215.054,2.151,4,4,HotParent,20000,3.986583,5016.828,5016.828,439.666,631.562,800.917,440.118,632.552,802.203,0,True
